# Source: https://www.digitaldutch.com/atmoscalc/table.htm
Altitude [m],Temperature [K],Pressure [Pa],Density [kg m-3],Speed of sound [m s-1],Viscosity [Pa s]
31600,228.25,921.526,0.0140648,302.866,1.49723E-05
31700,228.35,907.838,0.0138499,302.932,1.49778E-05
31800,228.45,894.36,0.0136383,302.999,1.49834E-05
31900,228.55,881.088,0.01343,303.065,1.49889E-05
32000,228.65,868.019,0.013225,303.131,1.49945E-05
32100,228.93,855.154,0.0130131,303.317,1.501E-05
32200,229.21,842.495,0.0128048,303.502,1.50254E-05
32300,229.49,830.038,0.0126001,303.688,1.50409E-05
32400,229.77,817.781,0.0123989,303.873,1.50564E-05
32500,230.05,805.719,0.0122011,304.058,1.50719E-05
32600,230.33,793.849,0.0120068,304.243,1.50873E-05
32700,230.61,782.168,0.0118157,304.428,1.51028E-05
32800,230.89,770.674,0.011628,304.612,1.51182E-05
32900,231.17,759.361,0.0114434,304.797,1.51336E-05
33000,231.45,748.228,0.011262,304.982,1.51491E-05
33100,231.73,737.272,0.0110837,305.166,1.51645E-05
33200,232.01,726.489,0.0109084,305.35,1.51799E-05
33300,232.29,715.876,0.0107361,305.535,1.51953E-05
33400,232.57,705.431,0.0105667,305.719,1.52107E-05
33500,232.85,695.15,0.0104002,305.903,1.52261E-05
33600,233.13,685.032,0.0102365,306.086,1.52414E-05
33700,233.41,675.072,0.0100756,306.27,1.52568E-05
33800,233.69,665.269,0.00991734,306.454,1.52722E-05
33900,233.97,655.62,0.00976181,306.637,1.52875E-05
34000,234.25,646.122,0.00960889,306.821,1.53029E-05
34100,234.53,636.773,0.00945855,307.004,1.53182E-05
34200,234.81,627.57,0.00931073,307.187,1.53335E-05
34300,235.09,618.511,0.0091654,307.37,1.53489E-05
34400,235.37,609.593,0.0090225,307.553,1.53642E-05
34500,235.65,600.814,0.008882,307.736,1.53795E-05
34600,235.93,592.172,0.00874385,307.919,1.53948E-05
34700,236.21,583.664,0.008608,308.102,1.54101E-05
34800,236.49,575.288,0.00847443,308.284,1.54254E-05
34900,236.77,567.042,0.00834308,308.467,1.54406E-05
35000,237.05,558.924,0.00821392,308.649,1.54559E-05
35100,237.33,550.931,0.00808691,308.831,1.54712E-05
35200,237.61,543.062,0.00796201,309.013,1.54864E-05
35300,237.89,535.314,0.00783918,309.195,1.55017E-05
35400,238.17,527.686,0.00771839,309.377,1.55169E-05
35500,238.45,520.175,0.00759959,309.559,1.55321E-05
35600,238.73,512.78,0.00748277,309.741,1.55474E-05
35700,239.01,505.498,0.00736787,309.922,1.55626E-05
35800,239.29,498.329,0.00725486,310.104,1.55778E-05
35900,239.57,491.269,0.00714372,310.285,1.5593E-05
36000,239.85,484.317,0.00703441,310.467,1.56082E-05
36100,240.13,477.471,0.0069269,310.648,1.56233E-05
36200,240.41,470.73,0.00682115,310.829,1.56385E-05
36300,240.69,464.092,0.00671714,311.01,1.56537E-05
36400,240.97,457.555,0.00661483,311.191,1.56688E-05
36500,241.25,451.118,0.00651419,311.371,1.5684E-05
36600,241.53,444.778,0.0064152,311.552,1.56991E-05
36700,241.81,438.535,0.00631783,311.733,1.57143E-05
36800,242.09,432.386,0.00622205,311.913,1.57294E-05
36900,242.37,426.331,0.00612782,312.093,1.57445E-05
37000,242.65,420.367,0.00603513,312.274,1.57596E-05
37100,242.93,414.494,0.00594394,312.454,1.57748E-05
37200,243.21,408.709,0.00585424,312.634,1.57898E-05
37300,243.49,403.011,0.00576599,312.814,1.58049E-05
37400,243.77,397.399,0.00567917,312.993,1.582E-05
37500,244.05,391.872,0.00559375,313.173,1.58351E-05
37600,244.33,386.427,0.00550972,313.353,1.58502E-05
37700,244.61,381.065,0.00542704,313.532,1.58652E-05
37800,244.89,375.783,0.00534569,313.712,1.58803E-05
37900,245.17,370.58,0.00526566,313.891,1.58953E-05
38000,245.45,365.455,0.00518691,314.07,1.59104E-05
38100,245.73,360.406,0.00510943,314.249,1.59254E-05
38200,246.01,355.433,0.00503319,314.428,1.59404E-05
38300,246.29,350.534,0.00495817,314.607,1.59554E-05
38400,246.57,345.708,0.00488436,314.786,1.59704E-05
38500,246.85,340.954,0.00481172,314.965,1.59854E-05
38600,247.13,336.27,0.00474025,315.143,1.60004E-05
38700,247.41,331.656,0.00466992,315.322,1.60154E-05
38800,247.69,327.111,0.00460071,315.5,1.60304E-05
38900,247.97,322.632,0.0045326,315.678,1.60454E-05
39000,248.25,318.22,0.00446557,315.856,1.60603E-05
39100,248.53,313.874,0.00439961,316.034,1.60753E-05
39200,248.81,309.591,0.0043347,316.212,1.60902E-05
39300,249.09,305.372,0.00427081,316.39,1.61052E-05
39400,249.37,301.214,0.00420794,316.568,1.61201E-05
39500,249.65,297.118,0.00414606,316.746,1.6135E-05
39600,249.93,293.082,0.00408516,316.923,1.615E-05
39700,250.21,289.105,0.00402522,317.101,1.61649E-05
39800,250.49,285.187,0.00396623,317.278,1.61798E-05
39900,250.77,281.326,0.00390816,317.455,1.61947E-05
40000,251.05,277.522,0.00385101,317.633,1.62096E-05
40100,251.33,273.773,0.00379476,317.81,1.62245E-05
40200,251.61,270.079,0.00373939,317.987,1.62393E-05
40300,251.89,266.438,0.00368488,318.164,1.62542E-05
40400,252.17,262.851,0.00363123,318.34,1.62691E-05
40500,252.45,259.316,0.00357842,318.517,1.62839E-05
40600,252.73,255.832,0.00352644,318.694,1.62988E-05
40700,253.01,252.399,0.00347527,318.87,1.63136E-05
40800,253.29,249.016,0.00342489,319.047,1.63284E-05
40900,253.57,245.682,0.0033753,319.223,1.63433E-05
41000,253.85,242.395,0.00332648,319.399,1.63581E-05
41100,254.13,239.157,0.00327842,319.575,1.63729E-05
41200,254.41,235.965,0.00323111,319.751,1.63877E-05
41300,254.69,232.819,0.00318453,319.927,1.64025E-05
41400,254.97,229.719,0.00313867,320.103,1.64173E-05
41500,255.25,226.663,0.00309352,320.279,1.6432E-05
41600,255.53,223.651,0.00304907,320.454,1.64468E-05
41700,255.81,220.683,0.00300531,320.63,1.64616E-05
41800,256.09,217.757,0.00296222,320.805,1.64763E-05
41900,256.37,214.873,0.00291979,320.981,1.64911E-05
42000,256.65,212.03,0.00287802,321.156,1.65058E-05
42100,256.93,209.228,0.00283689,321.331,1.65206E-05
42200,257.21,206.466,0.00279639,321.506,1.65353E-05
42300,257.49,203.743,0.00275651,321.681,1.655E-05
42400,257.77,201.059,0.00271725,321.856,1.65647E-05
42500,258.05,198.413,0.00267858,322.03,1.65795E-05
42600,258.33,195.805,0.00264051,322.205,1.65942E-05
42700,258.61,193.234,0.00260302,322.38,1.66088E-05
42800,258.89,190.7,0.00256609,322.554,1.66235E-05
42900,259.17,188.201,0.00252974,322.729,1.66382E-05
43000,259.45,185.738,0.00249393,322.903,1.66529E-05
43100,259.73,183.309,0.00245867,323.077,1.66676E-05
43200,260.01,180.915,0.00242395,323.251,1.66822E-05
43300,260.29,178.555,0.00238975,323.425,1.66969E-05
43400,260.57,176.228,0.00235607,323.599,1.67115E-05
43500,260.85,173.934,0.00232291,323.773,1.67261E-05
43600,261.13,171.672,0.00229024,323.947,1.67408E-05
43700,261.41,169.442,0.00225807,324.12,1.67554E-05
43800,261.69,167.243,0.00222638,324.294,1.677E-05
43900,261.97,165.075,0.00219517,324.467,1.67846E-05
44000,262.25,162.937,0.00216443,324.641,1.67992E-05
44100,262.53,160.83,0.00213415,324.814,1.68138E-05
44200,262.81,158.751,0.00210433,324.987,1.68284E-05
44300,263.09,156.702,0.00207496,325.16,1.6843E-05
44400,263.37,154.682,0.00204602,325.333,1.68576E-05
44500,263.65,152.689,0.00201752,325.506,1.68721E-05
44600,263.93,150.724,0.00198945,325.679,1.68867E-05
44700,264.21,148.787,0.0019618,325.851,1.69013E-05
44800,264.49,146.877,0.00193456,326.024,1.69158E-05
44900,264.77,144.993,0.00190772,326.197,1.69303E-05
45000,265.05,143.135,0.00188129,326.369,1.69449E-05
45100,265.33,141.303,0.00185525,326.541,1.69594E-05
45200,265.61,139.496,0.0018296,326.714,1.69739E-05
45300,265.89,137.714,0.00180432,326.886,1.69884E-05
45400,266.17,135.957,0.00177943,327.058,1.70029E-05
45500,266.45,134.224,0.0017549,327.23,1.70174E-05
45600,266.73,132.515,0.00173074,327.402,1.70319E-05
45700,267.01,130.829,0.00170693,327.574,1.70464E-05
45800,267.29,129.167,0.00168348,327.745,1.70609E-05
45900,267.57,127.527,0.00166037,327.917,1.70754E-05
46000,267.85,125.91,0.0016376,328.088,1.70898E-05
46100,268.13,124.315,0.00161517,328.26,1.71043E-05
46200,268.41,122.742,0.00159307,328.431,1.71187E-05
46300,268.69,121.191,0.00157129,328.602,1.71332E-05
46400,268.97,119.66,0.00154983,328.774,1.71476E-05
46500,269.25,118.151,0.00152869,328.945,1.7162E-05
46600,269.53,116.662,0.00150786,329.116,1.71764E-05
46700,269.81,115.193,0.00148733,329.287,1.71909E-05
46800,270.09,113.745,0.0014671,329.457,1.72053E-05
46900,270.37,112.316,0.00144717,329.628,1.72197E-05
47000,270.65,110.906,0.00142753,329.799,1.72341E-05
47100,270.65,109.515,0.00140963,329.799,1.72341E-05
47200,270.65,108.141,0.00139195,329.799,1.72341E-05
47300,270.65,106.785,0.00137449,329.799,1.72341E-05
47400,270.65,105.446,0.00135725,329.799,1.72341E-05
47500,270.65,104.123,0.00134022,329.799,1.72341E-05
47600,270.65,102.817,0.00132341,329.799,1.72341E-05
47700,270.65,101.527,0.00130681,329.799,1.72341E-05
47800,270.65,100.254,0.00129042,329.799,1.72341E-05
47900,270.65,98.9962,0.00127423,329.799,1.72341E-05
48000,270.65,97.7545,0.00125825,329.799,1.72341E-05
48100,270.65,96.5283,0.00124247,329.799,1.72341E-05
48200,270.65,95.3176,0.00122688,329.799,1.72341E-05
48300,270.65,94.122,0.00121149,329.799,1.72341E-05
48400,270.65,92.9414,0.0011963,329.799,1.72341E-05
48500,270.65,91.7756,0.00118129,329.799,1.72341E-05
48600,270.65,90.6244,0.00116647,329.799,1.72341E-05
48700,270.65,89.4877,0.00115184,329.799,1.72341E-05
48800,270.65,88.3652,0.00113739,329.799,1.72341E-05
48900,270.65,87.2568,0.00112313,329.799,1.72341E-05
49000,270.65,86.1623,0.00110904,329.799,1.72341E-05
49100,270.65,85.0815,0.00109513,329.799,1.72341E-05
49200,270.65,84.0143,0.00108139,329.799,1.72341E-05
49300,270.65,82.9605,0.00106783,329.799,1.72341E-05
49400,270.65,81.9199,0.00105443,329.799,1.72341E-05
49500,270.65,80.8924,0.00104121,329.799,1.72341E-05
49600,270.65,79.8777,0.00102815,329.799,1.72341E-05
49700,270.65,78.8758,0.00101525,329.799,1.72341E-05
49800,270.65,77.8864,0.00100252,329.799,1.72341E-05
49900,270.65,76.9095,0.000989942,329.799,1.72341E-05
50000,270.65,75.9448,0.000977525,329.799,1.72341E-05
50100,270.65,74.9922,0.000965264,329.799,1.72341E-05
50200,270.65,74.0515,0.000953156,329.799,1.72341E-05
50300,270.65,73.1227,0.0009412,329.799,1.72341E-05
50400,270.65,72.2055,0.000929395,329.799,1.72341E-05
50500,270.65,71.2998,0.000917737,329.799,1.72341E-05
50600,270.65,70.4054,0.000906225,329.799,1.72341E-05
50700,270.65,69.5223,0.000894858,329.799,1.72341E-05
50800,270.65,68.6503,0.000883634,329.799,1.72341E-05
50900,270.65,67.7892,0.00087255,329.799,1.72341E-05
51000,270.65,66.9389,0.000861606,329.799,1.72341E-05
51100,270.37,66.0988,0.000851674,329.628,1.72197E-05
51200,270.09,65.2684,0.000841846,329.457,1.72053E-05
51300,269.81,64.4476,0.000832122,329.287,1.71909E-05
51400,269.53,63.6363,0.0008225,329.116,1.71764E-05
51500,269.25,62.8344,0.00081298,328.945,1.7162E-05
51600,268.97,62.0418,0.00080356,328.774,1.71476E-05
51700,268.69,61.2583,0.00079424,328.602,1.71332E-05
51800,268.41,60.484,0.000785018,328.431,1.71187E-05
51900,268.13,59.7186,0.000775894,328.26,1.71043E-05
52000,267.85,58.9622,0.000766867,328.088,1.70898E-05
52100,267.57,58.2145,0.000757935,327.917,1.70754E-05
52200,267.29,57.4756,0.000749098,327.745,1.70609E-05
52300,267.01,56.7453,0.000740355,327.574,1.70464E-05
52400,266.73,56.0235,0.000731705,327.402,1.70319E-05
52500,266.45,55.3101,0.000723147,327.23,1.70174E-05
52600,266.17,54.6051,0.000714681,327.058,1.70029E-05
52700,265.89,53.9084,0.000706305,326.886,1.69884E-05
52800,265.61,53.2198,0.000698018,326.714,1.69739E-05
52900,265.33,52.5393,0.00068982,326.541,1.69594E-05
53000,265.05,51.8668,0.00068171,326.369,1.69449E-05
53100,264.77,51.2022,0.000673687,326.197,1.69303E-05
53200,264.49,50.5454,0.000665749,326.024,1.69158E-05
53300,264.21,49.8964,0.000657897,325.851,1.69013E-05
53400,263.93,49.2551,0.00065013,325.679,1.68867E-05
53500,263.65,48.6213,0.000642446,325.506,1.68721E-05
53600,263.37,47.995,0.000634845,325.333,1.68576E-05
53700,263.09,47.3761,0.000627326,325.16,1.6843E-05
53800,262.81,46.7646,0.000619888,324.987,1.68284E-05
53900,262.53,46.1603,0.00061253,324.814,1.68138E-05
54000,262.25,45.5632,0.000605252,324.641,1.67992E-05
54100,261.97,44.9731,0.000598053,324.467,1.67846E-05
54200,261.69,44.3902,0.000590932,324.294,1.677E-05
54300,261.41,43.8141,0.000583888,324.12,1.67554E-05
54400,261.13,43.2449,0.000576921,323.947,1.67408E-05
54500,260.85,42.6826,0.00057003,323.773,1.67261E-05
54600,260.57,42.1269,0.000563214,323.599,1.67115E-05
54700,260.29,41.5779,0.000556472,323.425,1.66969E-05
54800,260.01,41.0354,0.000549803,323.251,1.66822E-05
54900,259.73,40.4995,0.000543208,323.077,1.66676E-05
55000,259.45,39.97,0.000536684,322.903,1.66529E-05
55100,259.17,39.4469,0.000530232,322.729,1.66382E-05
55200,258.89,38.93,0.000523851,322.554,1.66235E-05
55300,258.61,38.4194,0.000517539,322.38,1.66088E-05
55400,258.33,37.9149,0.000511298,322.205,1.65942E-05
55500,258.05,37.4166,0.000505124,322.03,1.65795E-05
55600,257.77,36.9242,0.000499019,321.856,1.65647E-05
55700,257.49,36.4378,0.000492981,321.681,1.655E-05
55800,257.21,35.9573,0.000487009,321.506,1.65353E-05
55900,256.93,35.4826,0.000481104,321.331,1.65206E-05
56000,256.65,35.0137,0.000475263,321.156,1.65058E-05
56100,256.37,34.5504,0.000469488,320.981,1.64911E-05
56200,256.09,34.0928,0.000463776,320.805,1.64763E-05
56300,255.81,33.6408,0.000458128,320.63,1.64616E-05
56400,255.53,33.1943,0.000452542,320.454,1.64468E-05
56500,255.25,32.7532,0.000447019,320.279,1.6432E-05
56600,254.97,32.3175,0.000441557,320.103,1.64173E-05
56700,254.69,31.8871,0.000436156,319.927,1.64025E-05
56800,254.41,31.462,0.000430815,319.751,1.63877E-05
56900,254.13,31.0421,0.000425534,319.575,1.63729E-05
57000,253.85,30.6274,0.000420311,319.399,1.63581E-05
57100,253.57,30.2178,0.000415147,319.223,1.63433E-05
57200,253.29,29.8131,0.000410041,319.047,1.63284E-05
57300,253.01,29.4135,0.000404993,318.87,1.63136E-05
57400,252.73,29.0188,0.000400001,318.694,1.62988E-05
57500,252.45,28.629,0.000395065,318.517,1.62839E-05
57600,252.17,28.2439,0.000390184,318.34,1.62691E-05
57700,251.89,27.8637,0.000385359,318.164,1.62542E-05
57800,251.61,27.4881,0.000380588,317.987,1.62393E-05
57900,251.33,27.1172,0.000375871,317.81,1.62245E-05
58000,251.05,26.7509,0.000371207,317.633,1.62096E-05
58100,250.77,26.3891,0.000366596,317.455,1.61947E-05
58200,250.49,26.0318,0.000362037,317.278,1.61798E-05
58300,250.21,25.679,0.000357529,317.101,1.61649E-05
58400,249.93,25.3306,0.000353073,316.923,1.615E-05
58500,249.65,24.9865,0.000348668,316.746,1.6135E-05
58600,249.37,24.6467,0.000344313,316.568,1.61201E-05
58700,249.09,24.3112,0.000340007,316.39,1.61052E-05
58800,248.81,23.9798,0.00033575,316.212,1.60902E-05
58900,248.53,23.6526,0.000331542,316.034,1.60753E-05
59000,248.25,23.3296,0.000327382,315.856,1.60603E-05
59100,247.97,23.0105,0.00032327,315.678,1.60454E-05
59200,247.69,22.6955,0.000319205,315.5,1.60304E-05
59300,247.41,22.3844,0.000315186,315.322,1.60154E-05
59400,247.13,22.0773,0.000311214,315.143,1.60004E-05
59500,246.85,21.774,0.000307287,314.965,1.59854E-05
59600,246.57,21.4746,0.000303405,314.786,1.59704E-05
59700,246.29,21.1789,0.000299568,314.607,1.59554E-05
59800,246.01,20.887,0.000295775,314.428,1.59404E-05
59900,245.73,20.5988,0.000292027,314.249,1.59254E-05
60000,245.45,20.3143,0.000288321,314.07,1.59104E-05
60100,245.17,20.0333,0.000284658,313.891,1.58953E-05
60200,244.89,19.7559,0.000281038,313.712,1.58803E-05
60300,244.61,19.4821,0.000277459,313.532,1.58652E-05
60400,244.33,19.2117,0.000273923,313.353,1.58502E-05
60500,244.05,18.9448,0.000270427,313.173,1.58351E-05
60600,243.77,18.6813,0.000266972,312.993,1.582E-05
60700,243.49,18.4212,0.000263557,312.814,1.58049E-05
60800,243.21,18.1644,0.000260182,312.634,1.57898E-05
60900,242.93,17.9109,0.000256847,312.454,1.57748E-05
61000,242.65,17.6606,0.00025355,312.274,1.57596E-05
61100,242.37,17.4136,0.000250292,312.093,1.57445E-05
61200,242.09,17.1697,0.000247072,311.913,1.57294E-05
61300,241.81,16.929,0.00024389,311.733,1.57143E-05
61400,241.53,16.6913,0.000240746,311.552,1.56991E-05
61500,241.25,16.4568,0.000237638,311.371,1.5684E-05
61600,240.97,16.2252,0.000234567,311.191,1.56688E-05
61700,240.69,15.9967,0.000231532,311.01,1.56537E-05
61800,240.41,15.7711,0.000228533,310.829,1.56385E-05
61900,240.13,15.5485,0.000225569,310.648,1.56233E-05
62000,239.85,15.3287,0.00022264,310.467,1.56082E-05
62100,239.57,15.1118,0.000219746,310.285,1.5593E-05
62200,239.29,14.8977,0.000216886,310.104,1.55778E-05
62300,239.01,14.6864,0.000214061,309.922,1.55626E-05
62400,238.73,14.4778,0.000211268,309.741,1.55474E-05
62500,238.45,14.272,0.000208509,309.559,1.55321E-05
62600,238.17,14.0689,0.000205783,309.377,1.55169E-05
62700,237.89,13.8684,0.00020309,309.195,1.55017E-05
62800,237.61,13.6705,0.000200428,309.013,1.54864E-05
62900,237.33,13.4753,0.000197798,308.831,1.54712E-05
63000,237.05,13.2826,0.0001952,308.649,1.54559E-05
63100,236.77,13.0924,0.000192633,308.467,1.54406E-05
63200,236.49,12.9047,0.000190097,308.284,1.54254E-05
63300,236.21,12.7196,0.000187591,308.102,1.54101E-05
63400,235.93,12.5368,0.000185115,307.919,1.53948E-05
63500,235.65,12.3565,0.000182669,307.736,1.53795E-05
63600,235.37,12.1785,0.000180253,307.553,1.53642E-05
63700,235.09,12.0029,0.000177865,307.37,1.53489E-05
63800,234.81,11.8297,0.000175507,307.187,1.53335E-05
63900,234.53,11.6587,0.000173177,307.004,1.53182E-05
64000,234.25,11.49,0.000170875,306.821,1.53029E-05
64100,233.97,11.3235,0.000168601,306.637,1.52875E-05
64200,233.69,11.1593,0.000166355,306.454,1.52722E-05
64300,233.41,10.9973,0.000164136,306.27,1.52568E-05
64400,233.13,10.8374,0.000161944,306.086,1.52414E-05
64500,232.85,10.6796,0.000159778,305.903,1.52261E-05
64600,232.57,10.524,0.000157639,305.719,1.52107E-05
64700,232.29,10.3704,0.000155527,305.535,1.51953E-05
64800,232.01,10.2189,0.00015344,305.35,1.51799E-05
64900,231.73,10.0695,0.000151378,305.166,1.51645E-05
65000,231.45,9.92203,0.000149342,304.982,1.51491E-05
65100,231.17,9.77656,0.000147331,304.797,1.51336E-05
65200,230.89,9.63306,0.000145344,304.612,1.51182E-05
65300,230.61,9.49149,0.000143382,304.428,1.51028E-05
65400,230.33,9.35183,0.000141444,304.243,1.50873E-05
65500,230.05,9.21406,0.00013953,304.058,1.50719E-05
65600,229.77,9.07816,0.000137639,303.873,1.50564E-05
65700,229.49,8.9441,0.000135772,303.688,1.50409E-05
65800,229.21,8.81186,0.000133928,303.502,1.50254E-05
65900,228.93,8.68141,0.000132107,303.317,1.501E-05
66000,228.65,8.55275,0.000130308,303.131,1.49945E-05
66100,228.37,8.42583,0.000128532,302.946,1.4979E-05
66200,228.09,8.30064,0.000126778,302.76,1.49634E-05
66300,227.81,8.17717,0.000125046,302.574,1.49479E-05
66400,227.53,8.05538,0.000123335,302.388,1.49324E-05
66500,227.25,7.93526,0.000121645,302.202,1.49169E-05
66600,226.97,7.81679,0.000119977,302.016,1.49013E-05
66700,226.69,7.69994,0.00011833,301.829,1.48858E-05
66800,226.41,7.5847,0.000116703,301.643,1.48702E-05
